Sequence,label
Seq1_01,Anger
Seq1_02,Anger
Seq1_03,Anger
Seq1_04,Anger
Seq1_05,Anger
Seq1_06,Anger
Seq1_08,Anger
Seq1_09,Anger
Seq1_10,Anger
Seq1_11,Anger
Seq1_12,Anger
Seq1_13,Anger
Seq1_14,Anger
Seq1_15,Anger
Seq1_16,Anger
Seq1_17,Anger
Seq1_18,Anger
Seq1_20,Anger
Seq2_01,Anger
Seq2_02,Anger
Seq2_03,Anger
Seq2_04,Anger
Seq2_05,Anger
Seq2_06,Anger
Seq2_07,Anger
Seq2_08,Anger
Seq2_09,Anger
Seq2_10,Anger
Seq2_11,Anger
Seq2_13,Anger
Seq2_15,Anger
Seq2_16,Anger
Seq2_17,Anger
Seq2_20,Anger
Seq3_01,Anger
Seq3_03,Anger
Seq3_04,Anger
Seq3_05,Anger
Seq3_06,Anger
Seq3_07,Anger
Seq3_08,Anger
Seq3_09,Anger
Seq3_10,Anger
Seq3_11,Anger
Seq3_14,Anger
Seq3_15,Anger
Seq3_16,Anger
Seq3_17,Anger
Seq3_18,Anger
Seq3_19,Anger
Seq4_01,Anger
Seq4_03,Anger
Seq4_04,Anger
Seq4_05,Anger
Seq4_07,Anger
Seq4_08,Anger
Seq4_09,Anger
Seq4_10,Anger
Seq4_12,Anger
Seq4_13,Anger
Seq4_14,Anger
Seq4_15,Anger
Seq4_16,Anger
Seq4_17,Anger
Seq4_19,Anger
Seq4_20,Anger
Seq5_01,Anger
Seq5_02,Anger
Seq5_03,Anger
Seq5_04,Anger
Seq5_05,Anger
Seq5_09,Anger
Seq5_11,Anger
Seq5_12,Anger
Seq5_14,Anger
Seq5_16,Anger
Seq5_17,Anger
Seq5_18,Anger
Seq5_19,Anger
Seq5_20,Anger
Seq6_02,Anger
Seq6_03,Anger
Seq6_04,Anger
Seq6_05,Anger
Seq6_06,Anger
Seq6_07,Anger
Seq6_08,Anger
Seq6_09,Anger
Seq6_10,Anger
Seq6_11,Anger
Seq6_14,Anger
Seq6_16,Anger
Seq6_17,Anger
Seq6_18,Anger
Seq6_19,Anger
Seq6_20,Anger
Seq7_01,Sadness
Seq7_02,Sadness
Seq7_03,Sadness
Seq7_04,Sadness
Seq7_05,Sadness
Seq7_06,Sadness
Seq7_07,Sadness
Seq7_08,Sadness
Seq7_09,Sadness
Seq7_10,Sadness
Seq7_11,Sadness
Seq7_12,Sadness
Seq7_13,Sadness
Seq7_14,Sadness
Seq7_16,Sadness
Seq7_19,Sadness
Seq8_03,Surprise
Seq8_04,Surprise
Seq8_05,Surprise
Seq8_06,Surprise
Seq8_07,Surprise
Seq8_10,Surprise
Seq8_11,Surprise
Seq8_12,Surprise
Seq8_14,Surprise
Seq8_18,Surprise
Seq8_20,Surprise
Seq9_01,Fear
Seq9_02,Fear
Seq9_04,Fear
Seq9_05,Fear
Seq9_06,Fear
Seq9_07,Fear
Seq9_08,Fear
Seq9_09,Fear
Seq9_10,Fear
Seq9_11,Fear
Seq9_12,Fear
Seq9_13,Fear
Seq9_14,Fear
Seq9_15,Fear
Seq9_17,Fear
Seq9_18,Fear
Seq9_19,Fear
Seq9_20,Fear
Seq10_01,Anger
Seq10_02,Anger
Seq10_03,Anger
Seq10_04,Anger
Seq10_05,Anger
Seq10_06,Anger
Seq10_07,Anger
Seq10_08,Anger
Seq10_11,Anger
Seq10_12,Anger
Seq10_13,Anger
Seq10_14,Anger
Seq10_15,Anger
Seq10_16,Anger
Seq10_18,Anger
Seq10_19,Anger
Seq10_20,Anger
Seq11_01,Surprise
Seq11_02,Surprise
Seq11_03,Surprise
Seq11_05,Surprise
Seq11_07,Surprise
Seq11_08,Surprise
Seq11_09,Surprise
Seq11_10,Surprise
Seq11_11,Surprise
Seq11_13,Surprise
Seq11_14,Surprise
Seq11_15,Surprise
Seq11_16,Surprise
Seq11_17,Surprise
Seq11_18,Surprise
Seq11_19,Surprise
Seq11_20,Surprise
Seq12_01,Fear
Seq12_02,Fear
Seq12_03,Fear
Seq12_04,Fear
Seq12_06,Fear
Seq12_08,Fear
Seq12_11,Fear
Seq12_13,Fear
Seq12_14,Fear
Seq12_15,Fear
Seq12_16,Fear
Seq12_17,Fear
Seq12_19,Fear
Seq12_20,Fear
Seq13_01,Other
Seq13_03,Other
Seq13_04,Other
Seq13_07,Other
Seq13_09,Other
Seq13_10,Other
Seq13_11,Other
Seq13_13,Other
Seq13_14,Other
Seq13_16,Other
Seq13_17,Other
Seq13_18,Other
Seq13_19,Other
Seq14_01,Surprise
Seq14_02,Surprise
Seq14_03,Surprise
Seq14_04,Surprise
Seq14_05,Surprise
Seq14_06,Surprise
Seq14_08,Surprise
Seq14_09,Surprise
Seq14_10,Surprise
Seq14_11,Surprise
Seq14_13,Surprise
Seq14_15,Surprise
Seq14_16,Surprise
Seq14_17,Surprise
Seq14_18,Surprise
Seq14_19,Surprise
Seq14_20,Surprise
Seq15_01,Other
Seq15_03,Other
Seq15_04,Other
Seq15_05,Other
Seq15_08,Other
Seq15_09,Other
Seq15_11,Other
Seq15_12,Other
Seq15_13,Other
Seq15_15,Other
Seq15_16,Other
Seq15_17,Other
Seq15_19,Other
Seq15_20,Other
Seq16_01,Happiness
Seq16_03,Happiness
Seq16_04,Happiness
Seq16_05,Happiness
Seq16_06,Happiness
Seq16_08,Happiness
Seq16_09,Happiness
Seq16_10,Happiness
Seq16_11,Happiness
Seq16_12,Happiness
Seq16_13,Happiness
Seq16_14,Happiness
Seq16_15,Happiness
Seq16_16,Happiness
Seq16_17,Happiness
Seq16_19,Happiness
Seq16_20,Happiness
Seq17_02,Happiness
Seq17_03,Happiness
Seq17_05,Happiness
Seq17_06,Happiness
Seq17_07,Happiness
Seq17_10,Happiness
Seq17_11,Happiness
Seq17_12,Happiness
Seq17_13,Happiness
Seq17_14,Happiness
Seq17_15,Happiness
Seq17_16,Happiness
Seq17_17,Happiness
Seq17_18,Happiness
Seq17_19,Happiness
Seq17_20,Happiness
Seq18_01,Happiness
Seq18_02,Happiness
Seq18_03,Happiness
Seq18_04,Happiness
Seq18_07,Happiness
Seq18_08,Happiness
Seq18_10,Happiness
