Sequence,label
Seq1,Anger
Seq2,Anger
Seq3,Anger
Seq4,Anger
Seq5,Anger
Seq8,Surprise
Seq9,Other
Seq10,Anger
Seq12,Other
Seq13,Other
Seq14,Surprise
Seq15,Other
Seq16,Happiness
Seq17,Happiness
Seq18,Happiness
Seq19,Happiness
Seq20,Surprise
Seq21,Happiness
Seq22,Other
Seq23,Anger
Seq24,Anger
Seq25,Surprise
Seq26,Anger
Seq28,Anger
Seq29,Anger
Seq30,Anger
Seq31,Other
Seq33,Other
Seq34,Happiness
Seq35,Anger
Seq36,Happiness
Seq37,Happiness
Seq38,Happiness
Seq39,Anger
Seq40,Anger
Seq41,Anger
Seq42,Contempt
Seq43,Contempt
Seq44,Other
Seq45,Happiness
Seq46,Happiness
Seq47,Happiness
Seq49,Contempt
Seq51,Other
Seq53,Anger
Seq54,Anger
Seq55,Anger
Seq57,Anger
Seq59,Other
Seq60,Other
Seq62,Happiness
Seq63,Happiness
Seq64,Happiness
Seq67,Happiness
Seq68,Happiness
Seq70,Other
Seq72,Surprise
Seq73,Anger
Seq74,Surprise
Seq75,Anger
Seq76,Surprise
Seq77,Happiness
Seq78,Contempt
Seq79,Surprise
Seq80,Other
Seq81,Contempt
Seq82,Anger
Seq83,Other
Seq84,Other
Seq86,Other
Seq87,Surprise
Seq88,Other
Seq89,Happiness
Seq90,Other
Seq91,Other
Seq92,Other
Seq93,Other
Seq95,Contempt
Seq96,Happiness
Seq97,Anger
Seq98,Happiness
Seq99,Other
Seq100,Anger
Seq103,Anger
Seq105,Anger
Seq107,Anger
Seq108,Other
Seq110,Other
Seq111,Other
Seq112,Other
Seq114,Other
Seq116,Anger
Seq117,Anger
Seq118,Other
Seq119,Anger
Seq120,Anger
Seq121,Contempt
Seq122,Contempt
Seq123,Other
Seq124,Other
Seq126,Contempt
Seq127,Surprise
Seq128,Surprise
Seq129,Anger
Seq130,Anger
Seq131,Anger
Seq132,Anger
Seq133,Anger
Seq135,Other
Seq136,Other
Seq137,Anger
Seq138,Other
Seq141,Anger
Seq142,Anger
Seq144,Anger
Seq145,Anger
Seq146,Anger
Seq147,Anger
Seq148,Anger
Seq150,Other
Seq151,Other
Seq152,Other
Seq153,Other
Seq154,Surprise
Seq155,Contempt
Seq156,Other
Seq158,Anger
Seq159,Other
