Sequence,label
Seq1,happiness
Seq2,others
Seq4,others
Seq5,others
Seq6,others
Seq8,disgust
Seq9,disgust
Seq10,repression
Seq11,repression
Seq13,repression
Seq14,repression
Seq15,others
Seq16,happiness
Seq17,others
Seq18,others
Seq19,surprise
Seq20,surprise
Seq21,surprise
Seq23,surprise
Seq24,others
Seq25,disgust
Seq26,others
Seq27,disgust
Seq28,disgust
Seq29,disgust
Seq31,disgust
Seq32,others
Seq33,disgust
Seq34,others
Seq35,surprise
Seq36,happiness
Seq37,surprise
Seq38,others
Seq39,surprise
Seq40,surprise
Seq41,others
Seq42,others
Seq43,others
Seq44,others
Seq45,others
Seq46,disgust
Seq49,others
Seq50,others
Seq51,others
Seq52,others
Seq53,others
Seq54,happiness
Seq55,surprise
Seq57,surprise
Seq58,disgust
Seq61,others
Seq62,disgust
Seq63,disgust
Seq65,disgust
Seq66,others
Seq67,others
Seq68,others
Seq69,others
Seq70,repression
Seq71,happiness
Seq74,happiness
Seq75,repression
Seq76,happiness
Seq77,repression
Seq78,repression
Seq79,happiness
Seq80,repression
Seq81,others
Seq82,happiness
Seq83,repression
Seq84,others
Seq85,others
Seq86,others
Seq87,others
Seq88,others
Seq89,others
Seq91,others
Seq92,others
Seq93,others
Seq94,others
Seq95,others
Seq96,others
Seq97,others
Seq98,others
Seq99,others
Seq100,disgust
Seq101,others
Seq103,disgust
Seq104,disgust
Seq106,others
Seq107,others
Seq108,others
Seq109,disgust
Seq110,surprise
Seq111,others
Seq113,disgust
Seq115,surprise
Seq116,surprise
Seq119,disgust
Seq120,disgust
Seq121,others
Seq122,others
Seq123,others
Seq124,others
Seq125,happiness
Seq126,others
Seq128,others
Seq129,others
Seq130,happiness
Seq131,happiness
Seq132,happiness
Seq134,surprise
Seq135,disgust
Seq137,repression
Seq138,others
Seq139,happiness
Seq142,happiness
Seq143,disgust
Seq145,disgust
Seq146,repression
Seq147,disgust
Seq148,happiness
Seq149,happiness
Seq150,happiness
Seq151,repression
Seq153,repression
Seq154,repression
Seq156,happiness
Seq157,repression
Seq158,disgust
Seq159,disgust
Seq160,others
Seq164,repression
Seq165,others
Seq166,disgust
Seq167,disgust
Seq169,happiness
Seq170,others
Seq171,others
Seq173,others
Seq174,disgust
Seq175,disgust
Seq176,others
Seq178,others
Seq179,happiness
Seq180,happiness
Seq182,surprise
Seq183,others
Seq184,happiness
Seq185,others
Seq186,surprise
Seq187,disgust
Seq188,others
Seq189,disgust
Seq190,disgust
Seq191,others
Seq192,surprise
Seq194,others
Seq195,disgust
Seq197,disgust
Seq198,others
Seq199,others
Seq200,others
Seq202,others
Seq205,others
Seq208,repression
Seq209,repression
Seq210,happiness
Seq211,disgust
Seq212,repression
Seq213,repression
Seq214,disgust
Seq217,disgust
Seq218,others
Seq219,repression
Seq220,others
Seq222,disgust
Seq223,disgust
Seq225,others
Seq227,others
Seq228,others
Seq229,others
Seq230,others
Seq231,surprise
Seq232,others
Seq233,others
Seq234,disgust
Seq235,disgust
Seq236,surprise
Seq237,surprise
Seq239,happiness
Seq240,others
Seq242,others
Seq243,disgust
Seq244,disgust
Seq245,others
Seq247,disgust
Seq248,others
Seq249,disgust
Seq251,others
Seq252,disgust
Seq253,disgust
Seq254,disgust
Seq255,disgust
