Sequence,label
Seq1,Anger
Seq2,Anger
Seq4,Anger
Seq6,Anger
Seq7,Other
Seq8,Surprise
Seq9,Other
Seq11,Surprise
Seq12,Other
Seq13,Other
Seq14,Surprise
Seq15,Other
Seq16,Happiness
Seq17,Happiness
Seq18,Happiness
Seq19,Happiness
Seq20,Surprise
Seq21,Happiness
Seq22,Other
Seq24,Anger
Seq26,Anger
Seq27,Anger
Seq28,Anger
Seq29,Anger
Seq31,Other
Seq32,Other
Seq35,Anger
Seq36,Happiness
Seq37,Happiness
Seq38,Happiness
Seq39,Anger
Seq40,Anger
Seq41,Anger
Seq42,Contempt
Seq43,Contempt
Seq44,Other
Seq45,Happiness
Seq47,Happiness
Seq48,Other
Seq50,Other
Seq51,Other
Seq52,Surprise
Seq53,Anger
Seq54,Anger
Seq55,Anger
Seq56,Anger
Seq57,Anger
Seq58,Anger
Seq60,Other
Seq61,Surprise
Seq62,Happiness
Seq65,Contempt
Seq66,Happiness
Seq67,Happiness
Seq68,Happiness
Seq69,Happiness
Seq71,Contempt
Seq72,Surprise
Seq73,Anger
Seq75,Anger
Seq76,Surprise
Seq77,Happiness
Seq78,Contempt
Seq80,Other
Seq82,Anger
Seq85,Other
Seq86,Other
Seq87,Surprise
Seq88,Other
Seq93,Other
Seq94,Other
Seq95,Contempt
Seq96,Happiness
Seq98,Happiness
Seq99,Other
Seq101,Anger
Seq102,Anger
Seq104,Happiness
Seq105,Anger
Seq106,Happiness
Seq108,Other
Seq109,Other
Seq110,Other
Seq111,Other
Seq112,Other
Seq113,Anger
Seq114,Other
Seq115,Anger
Seq117,Anger
Seq119,Anger
Seq120,Anger
Seq121,Contempt
Seq123,Other
Seq125,Other
Seq126,Contempt
Seq127,Surprise
Seq128,Surprise
Seq129,Anger
Seq130,Anger
Seq131,Anger
Seq132,Anger
Seq133,Anger
Seq134,Anger
Seq135,Other
Seq136,Other
Seq137,Anger
Seq138,Other
Seq139,Happiness
Seq140,Other
Seq141,Anger
Seq142,Anger
Seq143,Anger
Seq144,Anger
Seq145,Anger
Seq146,Anger
Seq147,Anger
Seq149,Anger
Seq150,Other
Seq151,Other
Seq152,Other
Seq153,Other
Seq154,Surprise
Seq155,Contempt
Seq156,Other
Seq157,Other
Seq158,Anger
Seq159,Other
