Sequence,label
Seq1_01,Anger
Seq1_02,Anger
Seq1_03,Anger
Seq1_05,Anger
Seq1_06,Anger
Seq1_07,Anger
Seq1_10,Anger
Seq1_11,Anger
Seq1_12,Anger
Seq1_13,Anger
Seq1_14,Anger
Seq1_16,Anger
Seq1_17,Anger
Seq1_18,Anger
Seq1_19,Anger
Seq1_20,Anger
Seq2_01,Anger
Seq2_02,Anger
Seq2_04,Anger
Seq2_06,Anger
Seq2_07,Anger
Seq2_10,Anger
Seq2_11,Anger
Seq2_12,Anger
Seq2_13,Anger
Seq2_16,Anger
Seq2_17,Anger
Seq2_18,Anger
Seq2_19,Anger
Seq2_20,Anger
Seq3_02,Anger
Seq3_03,Anger
Seq3_04,Anger
Seq3_05,Anger
Seq3_06,Anger
Seq3_07,Anger
Seq3_09,Anger
Seq3_10,Anger
Seq3_11,Anger
Seq3_12,Anger
Seq3_13,Anger
Seq3_14,Anger
Seq3_15,Anger
Seq3_16,Anger
Seq3_17,Anger
Seq3_18,Anger
Seq3_19,Anger
Seq3_20,Anger
Seq4_04,Anger
Seq4_05,Anger
Seq4_06,Anger
Seq4_07,Anger
Seq4_08,Anger
Seq4_09,Anger
Seq4_10,Anger
Seq4_11,Anger
Seq4_12,Anger
Seq4_13,Anger
Seq4_14,Anger
Seq4_15,Anger
Seq4_17,Anger
Seq4_18,Anger
Seq4_19,Anger
Seq4_20,Anger
Seq5_02,Anger
Seq5_04,Anger
Seq5_05,Anger
Seq5_06,Anger
Seq5_07,Anger
Seq5_08,Anger
Seq5_09,Anger
Seq5_11,Anger
Seq5_12,Anger
Seq5_13,Anger
Seq5_14,Anger
Seq5_15,Anger
Seq5_16,Anger
Seq5_18,Anger
Seq5_19,Anger
Seq5_20,Anger
Seq6_01,Anger
Seq6_02,Anger
Seq6_04,Anger
Seq6_06,Anger
Seq6_07,Anger
Seq6_09,Anger
Seq6_10,Anger
Seq6_11,Anger
Seq6_12,Anger
Seq6_13,Anger
Seq6_14,Anger
Seq6_15,Anger
Seq6_16,Anger
Seq6_17,Anger
Seq6_19,Anger
Seq6_20,Anger
Seq7_01,Other
Seq7_03,Other
Seq7_04,Other
Seq7_05,Other
Seq7_06,Other
Seq7_07,Other
Seq7_08,Other
Seq7_09,Other
Seq7_10,Other
Seq7_11,Other
Seq7_12,Other
Seq7_13,Other
Seq7_15,Other
Seq7_16,Other
Seq7_17,Other
Seq7_18,Other
Seq7_19,Other
Seq7_20,Other
Seq8_01,Surprise
Seq8_02,Surprise
Seq8_03,Surprise
Seq8_05,Surprise
Seq8_07,Surprise
Seq8_08,Surprise
Seq8_09,Surprise
Seq8_10,Surprise
Seq8_11,Surprise
Seq8_12,Surprise
Seq8_13,Surprise
Seq8_14,Surprise
Seq8_15,Surprise
Seq8_16,Surprise
Seq8_19,Surprise
Seq9_01,Other
Seq9_02,Other
Seq9_03,Other
Seq9_04,Other
Seq9_06,Other
Seq9_07,Other
Seq9_09,Other
Seq9_12,Other
Seq9_13,Other
Seq9_14,Other
Seq9_16,Other
Seq9_17,Other
Seq9_19,Other
Seq9_20,Other
Seq10_01,Anger
Seq10_02,Anger
Seq10_03,Anger
Seq10_04,Anger
Seq10_05,Anger
Seq10_06,Anger
Seq10_07,Anger
Seq10_09,Anger
Seq10_10,Anger
Seq10_11,Anger
Seq10_12,Anger
Seq10_14,Anger
Seq10_15,Anger
Seq10_16,Anger
Seq10_18,Anger
Seq10_19,Anger
Seq10_20,Anger
Seq11_03,Surprise
Seq11_04,Surprise
Seq11_06,Surprise
Seq11_07,Surprise
Seq11_09,Surprise
Seq11_10,Surprise
Seq11_11,Surprise
Seq11_13,Surprise
Seq11_14,Surprise
Seq11_15,Surprise
Seq11_16,Surprise
Seq11_17,Surprise
Seq11_18,Surprise
Seq11_19,Surprise
Seq11_20,Surprise
Seq12_01,Other
Seq12_02,Other
Seq12_03,Other
Seq12_05,Other
Seq12_06,Other
Seq12_07,Other
Seq12_08,Other
Seq12_10,Other
Seq12_11,Other
Seq12_12,Other
Seq12_13,Other
Seq12_16,Other
Seq12_17,Other
Seq12_18,Other
Seq12_19,Other
Seq13_01,Other
Seq13_02,Other
Seq13_03,Other
Seq13_04,Other
Seq13_05,Other
Seq13_06,Other
Seq13_08,Other
Seq13_09,Other
Seq13_10,Other
Seq13_12,Other
Seq13_14,Other
Seq13_15,Other
Seq13_16,Other
Seq13_18,Other
Seq13_19,Other
Seq13_20,Other
Seq14_01,Surprise
Seq14_02,Surprise
Seq14_03,Surprise
Seq14_04,Surprise
Seq14_07,Surprise
Seq14_08,Surprise
Seq14_09,Surprise
Seq14_12,Surprise
Seq14_14,Surprise
Seq14_15,Surprise
Seq14_16,Surprise
Seq14_17,Surprise
Seq14_18,Surprise
Seq14_19,Surprise
Seq14_20,Surprise
Seq15_02,Other
Seq15_04,Other
Seq15_05,Other
Seq15_06,Other
Seq15_07,Other
Seq15_08,Other
Seq15_09,Other
Seq15_10,Other
Seq15_11,Other
Seq15_12,Other
Seq15_13,Other
Seq15_14,Other
Seq15_15,Other
Seq15_16,Other
Seq15_17,Other
Seq15_18,Other
Seq15_19,Other
Seq15_20,Other
Seq16_01,Happiness
Seq16_02,Happiness
Seq16_03,Happiness
Seq16_04,Happiness
Seq16_06,Happiness
Seq16_07,Happiness
Seq16_09,Happiness
Seq16_10,Happiness
Seq16_11,Happiness
Seq16_12,Happiness
Seq16_13,Happiness
Seq16_14,Happiness
Seq16_15,Happiness
Seq16_16,Happiness
Seq16_17,Happiness
Seq16_18,Happiness
Seq16_20,Happiness
Seq17_01,Happiness
Seq17_02,Happiness
Seq17_03,Happiness
Seq17_04,Happiness
Seq17_06,Happiness
Seq17_07,Happiness
Seq17_10,Happiness
Seq17_12,Happiness
Seq17_13,Happiness
Seq17_14,Happiness
Seq17_15,Happiness
Seq17_16,Happiness
Seq17_18,Happiness
Seq17_19,Happiness
Seq18_01,Happiness
Seq18_03,Happiness
Seq18_05,Happiness
Seq18_06,Happiness
Seq18_07,Happiness
Seq18_08,Happiness
Seq18_09,Happiness
Seq18_10,Happiness
Seq18_11,Happiness
