Sequence,label
Seq1,happiness
Seq3,others
Seq4,others
Seq5,others
Seq7,others
Seq8,disgust
Seq10,repression
Seq11,repression
Seq12,repression
Seq14,repression
Seq15,others
Seq17,others
Seq18,others
Seq19,surprise
Seq21,surprise
Seq22,others
Seq23,surprise
Seq25,disgust
Seq26,others
Seq27,disgust
Seq28,disgust
Seq29,disgust
Seq30,disgust
Seq31,disgust
Seq32,others
Seq33,disgust
Seq34,others
Seq35,surprise
Seq36,happiness
Seq37,surprise
Seq38,others
Seq39,surprise
Seq40,surprise
Seq41,others
Seq42,others
Seq43,others
Seq44,others
Seq45,others
Seq46,disgust
Seq47,surprise
Seq48,others
Seq49,others
Seq50,others
Seq56,others
Seq58,disgust
Seq59,disgust
Seq60,others
Seq61,others
Seq62,disgust
Seq63,disgust
Seq64,disgust
Seq66,others
Seq67,others
Seq68,others
Seq69,others
Seq70,repression
Seq71,happiness
Seq72,others
Seq73,others
Seq74,happiness
Seq76,happiness
Seq77,repression
Seq78,repression
Seq79,happiness
Seq80,repression
Seq81,others
Seq82,happiness
Seq83,repression
Seq86,others
Seq87,others
Seq88,others
Seq90,others
Seq91,others
Seq92,others
Seq93,others
Seq94,others
Seq95,others
Seq96,others
Seq97,others
Seq98,others
Seq99,others
Seq100,disgust
Seq102,disgust
Seq103,disgust
Seq104,disgust
Seq105,others
Seq106,others
Seq107,others
Seq108,others
Seq109,disgust
Seq110,surprise
Seq111,others
Seq112,happiness
Seq113,disgust
Seq114,surprise
Seq115,surprise
Seq116,surprise
Seq117,happiness
Seq118,disgust
Seq120,disgust
Seq121,others
Seq122,others
Seq124,others
Seq126,others
Seq127,happiness
Seq128,others
Seq129,others
Seq130,happiness
Seq131,happiness
Seq132,happiness
Seq133,happiness
Seq134,surprise
Seq135,disgust
Seq136,happiness
Seq137,repression
Seq138,others
Seq139,happiness
Seq140,happiness
Seq141,surprise
Seq142,happiness
Seq143,disgust
Seq144,disgust
Seq145,disgust
Seq148,happiness
Seq149,happiness
Seq151,repression
Seq152,repression
Seq154,repression
Seq155,disgust
Seq156,happiness
Seq157,repression
Seq159,disgust
Seq160,others
Seq161,repression
Seq162,disgust
Seq163,disgust
Seq164,repression
Seq165,others
Seq167,disgust
Seq168,disgust
Seq169,happiness
Seq171,others
Seq172,repression
Seq173,others
Seq174,disgust
Seq175,disgust
Seq177,others
Seq178,others
Seq179,happiness
Seq180,happiness
Seq181,surprise
Seq182,surprise
Seq183,others
Seq186,surprise
Seq188,others
Seq190,disgust
Seq191,others
Seq193,surprise
Seq194,others
Seq195,disgust
Seq196,others
Seq197,disgust
Seq199,others
Seq200,others
Seq201,others
Seq203,others
Seq204,others
Seq205,others
Seq206,others
Seq207,repression
Seq208,repression
Seq210,happiness
Seq212,repression
Seq213,repression
Seq215,others
Seq216,disgust
Seq217,disgust
Seq218,others
Seq219,repression
Seq220,others
Seq221,others
Seq222,disgust
Seq223,disgust
Seq224,others
Seq225,others
Seq226,others
Seq230,others
Seq231,surprise
Seq233,others
Seq235,disgust
Seq236,surprise
Seq238,disgust
Seq241,others
Seq242,others
Seq243,disgust
Seq244,disgust
Seq246,happiness
Seq247,disgust
Seq248,others
Seq249,disgust
Seq250,disgust
Seq251,others
Seq254,disgust
Seq255,disgust
