Sequence,label
Seq1,happiness
Seq1_01,happiness
Seq1_02,happiness
Seq1_03,happiness
Seq1_04,happiness
Seq1_05,happiness
Seq1_06,happiness
Seq1_07,happiness
Seq1_08,happiness
Seq1_09,happiness
Seq1_10,happiness
Seq1_11,happiness
Seq1_12,happiness
Seq1_13,happiness
Seq1_14,happiness
Seq1_15,happiness
Seq1_16,happiness
Seq1_17,happiness
Seq1_18,happiness
Seq1_19,happiness
Seq1_20,happiness
Seq2,others
Seq2_01,others
Seq2_02,others
Seq2_03,others
Seq2_04,others
Seq2_05,others
Seq2_06,others
Seq2_07,others
Seq2_08,others
Seq2_09,others
Seq2_10,others
Seq2_11,others
Seq2_12,others
Seq2_13,others
Seq2_14,others
Seq2_15,others
Seq2_16,others
Seq2_17,others
Seq2_18,others
Seq2_19,others
Seq2_20,others
Seq3,others
Seq3_01,others
Seq3_02,others
Seq3_03,others
Seq3_04,others
Seq3_05,others
Seq3_06,others
Seq3_07,others
Seq3_08,others
Seq3_09,others
Seq3_10,others
Seq3_11,others
Seq3_12,others
Seq3_13,others
Seq3_14,others
Seq3_15,others
Seq3_16,others
Seq3_17,others
Seq3_18,others
Seq3_19,others
Seq3_20,others
Seq5,others
Seq5_01,others
Seq5_02,others
Seq5_03,others
Seq5_04,others
Seq5_05,others
Seq5_06,others
Seq5_07,others
Seq5_08,others
Seq5_09,others
Seq5_10,others
Seq5_11,others
Seq5_12,others
Seq5_13,others
Seq5_14,others
Seq5_15,others
Seq5_16,others
Seq5_17,others
Seq5_18,others
Seq5_19,others
Seq5_20,others
Seq6,others
Seq6_01,others
Seq6_02,others
Seq6_03,others
Seq6_04,others
Seq6_05,others
Seq6_06,others
Seq6_07,others
Seq6_08,others
Seq6_09,others
Seq6_10,others
Seq6_11,others
Seq6_12,others
Seq6_13,others
Seq6_14,others
Seq6_15,others
Seq6_16,others
Seq6_17,others
Seq6_18,others
Seq6_19,others
Seq6_20,others
Seq7,others
Seq7_01,others
Seq7_02,others
Seq7_03,others
Seq7_04,others
Seq7_05,others
Seq7_06,others
Seq7_07,others
Seq7_08,others
Seq7_09,others
Seq7_10,others
Seq7_11,others
Seq7_12,others
Seq7_13,others
Seq7_14,others
Seq7_15,others
Seq7_16,others
Seq7_17,others
Seq7_18,others
Seq7_19,others
Seq7_20,others
Seq8,disgust
Seq8_01,disgust
Seq8_02,disgust
Seq8_03,disgust
Seq8_04,disgust
Seq8_05,disgust
Seq8_06,disgust
Seq8_07,disgust
Seq8_08,disgust
Seq8_09,disgust
Seq8_10,disgust
Seq8_11,disgust
Seq8_12,disgust
Seq8_13,disgust
Seq8_14,disgust
Seq8_15,disgust
Seq8_16,disgust
Seq8_17,disgust
Seq8_18,disgust
Seq8_19,disgust
Seq8_20,disgust
Seq9,disgust
Seq9_01,disgust
Seq9_02,disgust
Seq9_03,disgust
Seq9_04,disgust
Seq9_05,disgust
Seq9_06,disgust
Seq9_07,disgust
Seq9_08,disgust
Seq9_09,disgust
Seq9_10,disgust
Seq9_11,disgust
Seq9_12,disgust
Seq9_13,disgust
Seq9_14,disgust
Seq9_15,disgust
Seq9_16,disgust
Seq9_17,disgust
Seq9_18,disgust
Seq9_19,disgust
Seq9_20,disgust
Seq10,repression
Seq10_01,repression
Seq10_02,repression
Seq10_03,repression
Seq10_04,repression
Seq10_05,repression
Seq10_06,repression
Seq10_07,repression
Seq10_08,repression
Seq10_09,repression
Seq10_10,repression
Seq10_11,repression
Seq10_12,repression
Seq10_13,repression
Seq10_14,repression
Seq10_15,repression
Seq10_16,repression
Seq10_17,repression
Seq10_18,repression
Seq10_19,repression
Seq10_20,repression
Seq12,repression
Seq12_01,repression
Seq12_02,repression
Seq12_03,repression
Seq12_04,repression
Seq12_05,repression
Seq12_06,repression
Seq12_07,repression
Seq12_08,repression
Seq12_09,repression
Seq12_10,repression
Seq12_11,repression
Seq12_12,repression
Seq12_13,repression
Seq12_14,repression
Seq12_15,repression
Seq12_16,repression
Seq12_17,repression
Seq12_18,repression
Seq12_19,repression
Seq12_20,repression
Seq13,repression
Seq13_01,repression
Seq13_02,repression
Seq13_03,repression
Seq13_04,repression
Seq13_05,repression
Seq13_06,repression
Seq13_07,repression
Seq13_08,repression
Seq13_09,repression
Seq13_10,repression
Seq13_11,repression
Seq13_12,repression
Seq13_13,repression
Seq13_14,repression
Seq13_15,repression
Seq13_16,repression
Seq13_17,repression
Seq13_18,repression
Seq13_19,repression
Seq13_20,repression
Seq15,others
Seq15_01,others
Seq15_02,others
Seq15_03,others
Seq15_04,others
Seq15_05,others
Seq15_06,others
Seq15_07,others
Seq15_08,others
Seq15_09,others
